fips,heart_disease_death_rate,stroke_death_rate,diabetes_prevalence_pct
18095,339.7,85.2,11.8
18097,347.1,79.4,12.8
18099,368.7,88.6,11.5
18101,368.0,83.2,11.5
18103,352.1,85.1,12.5
18105,303.6,67.2,11.0
18107,426.2,57.8,11.2
18109,383.8,80.0,10.9
18111,405.6,81.2,11.4
18113,340.9,86.9,11.1
18115,275.3,69.0,10.5
18117,374.2,89.6,11.5
18119,382.5,76.3,11.1
18121,361.2,73.2,12.2
18123,368.2,94.9,11.1
18125,358.4,81.8,11.2
18127,326.6,66.6,10.6
18129,349.5,82.5,10.0
18131,403.6,76.5,11.4
18133,336.8,73.0,11.1
18135,387.8,96.1,11.5
18137,375.6,80.8,10.2
18139,370.4,92.8,11.5
18141,334.9,90.2,11.7
18143,394.4,88.7,11.8
18145,330.2,81.0,11.3
18147,370.5,86.6,10.4
18149,460.0,75.7,11.8
18151,333.2,74.6,10.6
18153,432.9,71.6,12.0
18155,356.1,71.9,11.7
18157,277.9,63.4,11.6
18159,344.4,80.1,10.4
18161,361.7,101.2,10.1
18163,360.9,83.6,11.2
18165,435.5,106.1,11.5
18167,462.1,91.5,12.8
18169,338.2,101.8,10.8
18171,351.5,84.5,10.9
18173,361.6,84.1,9.5
18175,392.2,81.2,11.9
18177,450.3,88.7,12.1
18179,326.1,92.4,10.4
18181,352.8,64.8,11.4
18183,320.2,87.1,10.2
19001,322.1,62.5,9.9
19003,393.9,73.8,9.5
19005,416.2,61.4,9.8
19007,397.7,96.0,11.5
19009,298.5,42.2,9.8
19011,316.5,51.7,8.6
19013,320.2,64.6,10.8
19015,357.0,64.7,8.9
19017,317.5,54.7,8.4
19019,317.0,56.8,8.9
19021,327.7,56.6,11.7
19023,351.8,71.0,9.5
19025,339.7,61.5,9.6
19027,311.6,52.1,9.3
19029,391.3,66.2,10.5
19031,293.5,65.9,9.2
19033,361.3,57.9,9.5
19035,332.8,59.8,10.2
19037,442.4,90.3,9.5
19039,385.2,78.3,11.6
19041,324.4,57.0,9.5
19043,298.4,58.8,10.1
19045,352.7,70.9,10.0
19047,267.3,66.8,12.2
19049,274.8,65.6,8.5
19051,372.9,83.2,9.7
19053,400.4,80.4,10.6
