fips,lung_cancer_death_rate,lung_cancer_avg_annual_count
22019,41.7,105
05043,41.7,10
19133,41.7,7
39007,41.7,62
13163,41.7,9
54097,41.7,16
42123,41.7,28
40041,41.7,31
36037,41.7,36
48057,41.7,12
47009,41.6,91
37061,41.6,31
21111,41.6,411
29510,41.6,142
39143,41.5,37
45049,41.5,11
17123,41.5,8
40077,41.5,7
37115,41.4,14
13207,41.4,17
19123,41.4,13
18183,41.4,21
48403,41.4,9
54105,41.3,4
22091,41.3,7
31095,41.3,6
13189,41.3,13
42081,41.3,70
05015,41.3,20
51775,41.3,16
17109,41.3,15
01123,41.2,28
29033,41.2,6
01085,41.2,7
12005,41.2,105
18091,41.2,67
13011,41.2,11
13087,41.2,16
23017,41.2,43
19117,41.2,5
27061,41.2,33
40119,41.2,33
48467,41.1,39
12043,41.1,10
20121,41.1,20
26057,41.1,23
17059,41.1,4
20041,41.1,11
18123,41.1,11
05073,41.0,5
16039,41.0,12
13177,41.0,14
01049,41.0,40
22095,41.0,20
37199,41.0,15
40035,41.0,9
21017,41.0,13
55001,40.9,19
41033,40.9,69
26151,40.9,29
26063,40.9,24
01013,40.9,12
40151,40.9,5
13245,40.9,95
55013,40.9,15
26073,40.9,27
05061,40.8,7
36031,40.8,28
18027,40.8,16
29045,40.8,4
26115,40.8,93
23001,40.8,65
17073,40.8,32
22113,40.8,29
05077,40.8,5
31053,40.8,22
37079,40.8,11
12083,40.8,311
48227,40.8,14
28087,40.8,30
13281,40.8,12
39149,40.8,26
55019,40.7,19
32023,40.7,47
51710,40.7,95
18023,40.7,17
47165,40.7,102
48217,40.7,23
20167,40.7,5
06103,40.7,39
36023,40.7,24
13045,40.7,55
26157,40.6,36
46015,40.6,3
13075,40.6,9
36117,40.6,57
51790,40.6,16
13157,40.6,36
21239,40.5,17
17163,40.5,133
17195,40.5,36
28049,40.5,110
47153,40.5,10
28133,40.5,12
36089,40.4,62
29173,40.4,8
17049,40.4,19
19193,40.4,50
27141,40.4,39
21005,40.4,12
40109,40.4,349
37121,40.3,11
13285,40.3,35
42005,40.3,45
26061,40.3,20
04015,40.3,195
50011,40.3,28
05045,40.3,54
51001,40.3,25
18107,40.3,22
37195,40.3,45
39157,40.3,56
13221,40.3,9
40047,40.3,32
18015,40.3,12
17175,40.3,4
29169,40.2,17
45041,40.2,74
13235,40.2,7
30043,40.1,8
29087,40.1,3
22099,40.1,27
13171,40.1,10
46065,40.1,9
51840,40.1,15
47007,40.1,9
19097,40.1,13
18005,40.1,43
13093,40.1,7
18085,40.1,42
29151,40.1,7
27165,40.1,6
26109,40.1,18
56017,40.0,4
30003,40.0,5
42115,40.0,29
42039,40.0,55
48199,40.0,30
18081,40.0,78
51089,39.9,35
39171,39.9,22
26021,39.9,96
19067,39.9,10
22021,39.9,6
37069,39.9,39
18157,39.9,69
23015,39.9,30
28075,39.9,40
26099,39.8,481
26029,39.8,19
18033,39.8,23
48005,39.8,44
18163,39.8,97
38049,39.8,3
54027,39.8,16
12091,39.8,105
05113,39.8,14
37013,39.8,32
28147,39.8,9
13199,39.7,13
48253,39.7,9
18059,39.7,43
39113,39.7,294
47189,39.7,75
36083,39.7,87
20003,39.7,5
48135,39.7,50
26009,39.7,19
47179,39.7,77
02130,39.7,7
44003,39.7,102
24009,39.7,47
22017,39.6,129
36041,39.6,5
39095,39.6,224
28069,39.6,6
27025,39.6,29
13251,39.5,9
37077,39.5,33
27001,39.5,15
47149,39.5,120
45047,39.5,40
39017,39.5,186
51133,39.5,13
42105,39.5,12
20077,39.4,4
55005,39.4,32
01097,39.4,212
01069,39.4,59
27009,39.4,17
29073,39.4,10
34011,39.4,73
36063,39.4,127
12131,39.3,46
18173,39.3,36
22069,39.3,18
13161,39.3,8
18047,39.3,13
51171,39.3,28
29107,39.3,19
36013,39.3,77
53019,39.3,7
37145,39.3,25
47105,39.3,43
29157,39.2,11
41015,39.2,22
55059,39.2,78
20103,39.2,39
22031,39.2,15
22059,39.2,7
40065,39.2,12
05149,39.1,11
17011,39.1,23
13289,39.1,6
48349,39.1,27
17105,39.1,20
39109,39.1,61
45089,39.0,20
51159,39.0,6
18141,39.0,134
41041,39.0,41
42049,39.0,153
48073,39.0,27
55111,39.0,37
26159,39.0,44
17169,39.0,5
55049,39.0,13
16009,39.0,7
29211,39.0,4
41057,39.0,21
10001,38.9,96
47093,38.9,232
54079,38.9,33
55041,38.9,7
19105,38.9,13
53069,38.9,4
12127,38.9,408
12019,38.9,112
28041,38.9,7
01017,38.9,20
18087,38.9,17
48353,38.8,8
09015,38.8,62
12101,38.8,377
55105,38.8,85
45007,38.7,111
20173,38.7,241
05063,38.7,20
51735,38.7,7
51167,38.7,18
41035,38.7,42
26031,38.7,20
20015,38.7,32
33017,38.7,65
29039,38.7,10
37039,38.7,25
55003,38.7,10
39151,38.6,215
55107,38.6,10
13241,38.6,12
29167,38.6,18
42047,38.6,20
19013,38.6,65
36009,38.5,45
04012,38.5,17
42079,38.5,190
13001,38.5,10
18151,38.5,21
37067,38.5,185
51057,38.5,7
55031,38.5,26
48289,38.5,11
19143,38.5,4
26127,38.5,17
26163,38.4,854
17001,38.4,40
41009,38.4,32
26137,38.4,16
22077,38.4,13
26113,38.4,10
51137,38.4,22
42125,38.4,129
45063,38.4,147
48375,38.4,48
37087,38.4,44
39039,38.4,22
36003,38.4,27
36095,38.3,19
48429,38.3,5
17201,38.3,149
48203,38.3,36
48307,38.3,5
01099,38.2,12
39069,38.2,15
45051,38.2,247
12039,38.2,25
29163,38.2,9
01023,38.2,9
48347,38.2,29
22055,38.2,103
48395,38.2,10
42013,38.2,71
48031,38.1,8
55129,38.1,13
42069,38.1,128
26087,38.1,51
19153,38.1,202
37127,38.1,53
29077,38.1,146
39099,38.1,138
37139,38.1,22
31025,38.1,14
45083,38.1,162
18179,38.1,15
51197,38.1,17
29047,38.0,113
51036,38.0,5
29209,38.0,26
48331,38.0,16
28089,38.0,46
25005,38.0,297
48251,38.0,79
47119,37.9,52
46029,37.9,16
36025,37.9,32
37109,37.9,49
17129,37.9,7
20123,37.9,4
05051,37.9,67
24019,37.9,21
29001,37.9,11
29037,37.9,57
48449,37.8,13
06015,37.8,16
20085,37.8,7
40153,37.8,10
21215,37.8,9
42031,37.8,21
26013,37.8,5
17015,37.8,10
39161,37.8,17
19007,37.7,8
13095,37.7,41
13243,37.7,4
37055,37.7,23
31131,37.7,10
48367,37.6,72
36053,37.6,39
13141,37.6,6
37005,37.6,9
20143,37.6,3
22079,37.6,64
18147,37.6,12
39175,37.6,13
31021,37.6,5
27043,37.6,9
01077,37.6,53
29095,37.6,328
17167,37.6,104
54071,37.5,5
05101,37.5,5
55101,37.5,99
47035,37.5,51
13021,37.5,73
42007,37.5,104
27023,37.5,8
06033,37.4,44
26053,37.4,11
39061,37.4,379
45011,37.4,11
48177,37.4,10
